"","Provincia","Varones","Mujeres","Masculinidad","Total","Elecciones_2015"
"1","Buenos Aires",7616917,7977511,95.5,15594428,"Cambiemos"
"2","Catamarca",182962,184858,99,367820,"PJ"
"3","Chaco",520643,532823,97.7,1053466,"PJ"
"4","Chubut",254289,252379,100.8,506668,"PJ"
"5","Ciudad Autónoma de Buenos Aires",1335163,1555919,85.8,2891082,"Cambiemos"
"6","Corrientes",487276,506062,96.3,993338,"Cambiemos"
"7","Córdoba",1607428,1697397,94.7,3304825,"PJ"
"8","Entre Ríos",606944,629356,96.4,1236300,"PJ"
"9","Formosa",261924,265971,98.5,527895,"PJ"
"10","Jujuy",330364,341896,96.6,672260,"Cambiemos"
"11","La Pampa",157093,159847,98.3,316940,"PJ"
"12","La Rioja",164741,167106,98.6,331847,"PJ"
"13","Mendoza",848823,892787,95.1,1741610,"Cambiemos"
"14","Misiones",547497,550332,99.5,1097829,"Otros"
"15","Neuquén",274306,276038,99.4,550344,"Otros"
"16","Río Negro",314701,318673,98.8,633374,"Otros"
"17","Salta",600058,615149,97.5,1215207,"PJ"
"18","San Juan",334494,345933,96.7,680427,"PJ"
"19","San Luis",213785,217803,98.2,431588,"PJ"
"20","Santa Cruz",140938,131586,107.1,272524,"PJ"
"21","Santa Fe",1556365,1644371,94.6,3200736,"Otros"
"22","Santiago del Estero",443008,453453,97.7,896461,"Otros"
"23","Tierra del Fuego",64885,61325,105.8,126210,"PJ"
"24","Tucumán",710635,737565,96.2,1448200,"PJ"
