X,Provincia,Varones,Mujeres,Masculinidad,Total,Elecciones_2015
1,BUENOS_AIRES,7616917,7977511,95.5,15594428,Cambiemos
2,CATAMARCA,182962,184858,99,367820,PJ
3,CHACO,520643,532823,97.7,1053466,PJ
4,CHUBUT,254289,252379,100.8,506668,PJ
5,CAPITAL_FEDERAL,1335163,1555919,85.8,2891082,Cambiemos
6,CORRIENTES,487276,506062,96.3,993338,Cambiemos
7,CORDOBA,1607428,1697397,94.7,3304825,PJ
8,ENTRE_RIOS,606944,629356,96.4,1236300,PJ
9,FORMOSA,261924,265971,98.5,527895,PJ
10,JUJUY,330364,341896,96.6,672260,Cambiemos
11,LA_PAMPA,157093,159847,98.3,316940,PJ
12,LA_RIOJA,164741,167106,98.6,331847,PJ
13,MENDOZA,848823,892787,95.1,1741610,Cambiemos
14,MISIONES,547497,550332,99.5,1097829,Otros
15,NEUQUEN,274306,276038,99.4,550344,Otros
16,RIO_NEGRO,314701,318673,98.8,633374,Otros
17,SALTA,600058,615149,97.5,1215207,PJ
18,SAN_JUAN,334494,345933,96.7,680427,PJ
19,SAN_LUIS,213785,217803,98.2,431588,PJ
20,SANTA_CRUZ,140938,131586,107.1,272524,PJ
21,SANTA_FE,1556365,1644371,94.6,3200736,Otros
22,SANTIAGO_DEL_ESTERO,443008,453453,97.7,896461,Otros
23,TIERRA_DEL_FUEGO,64885,61325,105.8,126210,PJ
24,TUCUMAN,710635,737565,96.2,1448200,PJ
